date,cases
01/13/2020,0
01/14/2020,0
01/15/2020,0
01/16/2020,0
01/17/2020,0
01/18/2020,0
01/19/2020,1
01/20/2020,0
01/21/2020,1
01/22/2020,0
01/23/2020,0
01/24/2020,0
01/25/2020,0
01/26/2020,0
01/27/2020,0
01/28/2020,0
01/29/2020,0
01/30/2020,0
01/31/2020,0
02/01/2020,0
02/02/2020,0
02/03/2020,1
02/04/2020,0
02/05/2020,0
02/06/2020,2
02/07/2020,0
02/08/2020,0
02/09/2020,0
02/10/2020,0
02/11/2020,0
02/12/2020,0
02/13/2020,1
02/14/2020,1
02/15/2020,0
02/16/2020,0
02/17/2020,0
02/18/2020,0
02/19/2020,0
02/20/2020,0
02/21/2020,0
02/22/2020,0
02/23/2020,1
02/24/2020,1
02/25/2020,1
02/26/2020,2
02/27/2020,1
02/28/2020,2
02/29/2020,3
03/01/2020,24
03/02/2020,30
03/03/2020,42
03/04/2020,128
03/05/2020,65
03/06/2020,138
03/07/2020,142
03/08/2020,170
03/09/2020,304
03/10/2020,436
03/11/2020,418
03/12/2020,677
03/13/2020,858
03/14/2020,1026
03/15/2020,1262
03/16/2020,1711
03/17/2020,2128
03/18/2020,3357
03/19/2020,4606
03/20/2020,6100
03/21/2020,6940
03/22/2020,9228
03/23/2020,11190
03/24/2020,10896
03/25/2020,12657
03/26/2020,17592
03/27/2020,19215
03/28/2020,19785
03/29/2020,19683
03/30/2020,21139
03/31/2020,25000
04/01/2020,26204
04/02/2020,28135
04/03/2020,31835
04/04/2020,33122
04/05/2020,25843
04/06/2020,28260
04/07/2020,30416
04/08/2020,30964
04/09/2020,34992
04/10/2020,33778
04/11/2020,31323
04/12/2020,28168
04/13/2020,24136
04/14/2020,25943
04/15/2020,29834
04/16/2020,31266
04/17/2020,31500
04/18/2020,27573
04/19/2020,26930
04/20/2020,24376
04/21/2020,27354
04/22/2020,29273
04/23/2020,31938
04/24/2020,31217
04/25/2020,40697
04/26/2020,27324
04/27/2020,22404
04/28/2020,25232
04/29/2020,26179
04/30/2020,30063
05/01/2020,32880
05/02/2020,29151
05/03/2020,25759
05/04/2020,22106
05/05/2020,22392
05/06/2020,25312
05/07/2020,27228
05/08/2020,27198
05/09/2020,25280
05/10/2020,21112
05/11/2020,18080
05/12/2020,22521
05/13/2020,21481
05/14/2020,26796
05/15/2020,25407
05/16/2020,23835
05/17/2020,20384
05/18/2020,20613
05/19/2020,20700
05/20/2020,21371
05/21/2020,26751
05/22/2020,24127
05/23/2020,22482
05/24/2020,19122
05/25/2020,18543
05/26/2020,16676
05/27/2020,19193
05/28/2020,22844
05/29/2020,23624
05/30/2020,23543
05/31/2020,21694
06/01/2020,20029
06/02/2020,19909
06/03/2020,20164
06/04/2020,20512
06/05/2020,23046
06/06/2020,22669
06/07/2020,19080
06/08/2020,16935
06/09/2020,16933
06/10/2020,20873
06/11/2020,21976
06/12/2020,23152
06/13/2020,25459
06/14/2020,21629
06/15/2020,18236
06/16/2020,22857
06/17/2020,24206
06/18/2020,26984
06/19/2020,30887
06/20/2020,32232
06/21/2020,29182
06/22/2020,26817
06/23/2020,33446
06/24/2020,39131
06/25/2020,39720
06/26/2020,44300
06/27/2020,43104
06/28/2020,41729
06/29/2020,39368
06/30/2020,47032
07/01/2020,51044
07/02/2020,53511
07/03/2020,54214
07/04/2020,54846
07/05/2020,45374
07/06/2020,40902
07/07/2020,50991
07/08/2020,62815
07/09/2020,59063
07/10/2020,67108
07/11/2020,62584
07/12/2020,61602
07/13/2020,57144
07/14/2020,58618
07/15/2020,69372
07/16/2020,70493
07/17/2020,76498
07/18/2020,64773
07/19/2020,64207
07/20/2020,56709
07/21/2020,62887
07/22/2020,69442
07/23/2020,71426
07/24/2020,75095
07/25/2020,64788
07/26/2020,60768
07/27/2020,54484
07/28/2020,58452
07/29/2020,64156
07/30/2020,68979
07/31/2020,67835
08/01/2020,60640
08/02/2020,53322
08/03/2020,42743
08/04/2020,51205
08/05/2020,52691
08/06/2020,54045
08/07/2020,60837
08/08/2020,53492
08/09/2020,50766
08/10/2020,41370
08/11/2020,54935
08/12/2020,56186
08/13/2020,51763
08/14/2020,57144
08/15/2020,56003
08/16/2020,42503
08/17/2020,37751
08/18/2020,40070
08/19/2020,45073
08/20/2020,43844
08/21/2020,46477
08/22/2020,46033
08/23/2020,37900
08/24/2020,34543
08/25/2020,36839
08/26/2020,44331
08/27/2020,44111
08/28/2020,46115
08/29/2020,43995
08/30/2020,38766
08/31/2020,31720
09/01/2020,42242
09/02/2020,30667
09/03/2020,44631
09/04/2020,51600
09/05/2020,44860
09/06/2020,33033
09/07/2020,28117
09/08/2020,22310
09/09/2020,30756
09/10/2020,37386
09/11/2020,44698
09/12/2020,41850
09/13/2020,34579
09/14/2020,33572
09/15/2020,34778
09/16/2020,40319
09/17/2020,43642
09/18/2020,46889
09/19/2020,45668
09/20/2020,35533
09/21/2020,39162
09/22/2020,48986
09/23/2020,39498
09/24/2020,43341
09/25/2020,55278
09/26/2020,47227
09/27/2020,34990
09/28/2020,35376
09/29/2020,36766
09/30/2020,44909
10/01/2020,45720
10/02/2020,49427
10/03/2020,50874
10/04/2020,38165
10/05/2020,37752
10/06/2020,38846
10/07/2020,51216
10/08/2020,55308
10/09/2020,57085
10/10/2020,57543
10/11/2020,46723
10/12/2020,43248
10/13/2020,46914
10/14/2020,57240
10/15/2020,63641
10/16/2020,68505
10/17/2020,57675
10/18/2020,47957
10/19/2020,57650
10/20/2020,60574
10/21/2020,62856
10/22/2020,72273
10/23/2020,82575
10/24/2020,83792
10/25/2020,64471
10/26/2020,63430
10/27/2020,72255
10/28/2020,79700
10/29/2020,89365
10/30/2020,97942
10/31/2020,91293
11/01/2020,141974
11/02/2020,83454
11/03/2020,119949
11/04/2020,105996
11/05/2020,119023
11/06/2020,129990
11/07/2020,132113
11/08/2020,112445
11/09/2020,118403
11/10/2020,135569
11/11/2020,149333
11/12/2020,157542
11/13/2020,174633
11/14/2020,167726
11/15/2020,147062
11/16/2020,149977
11/17/2020,159826
11/18/2020,168220
11/19/2020,187932
11/20/2020,197164
11/21/2020,186385
11/22/2020,154188
11/23/2020,154696
11/24/2020,166503
11/25/2020,188496
11/26/2020,129764
11/27/2020,198874
11/28/2020,151469
11/29/2020,137254
11/30/2020,150031
12/01/2020,181183
12/02/2020,203429
12/03/2020,216271
12/04/2020,230313
12/05/2020,219070
12/06/2020,182580
12/07/2020,181897
12/08/2020,217844
12/09/2020,216728
12/10/2020,220846
12/11/2020,236933
12/12/2020,226904
12/13/2020,187251
12/14/2020,193286
12/15/2020,193218
12/16/2020,234288
12/17/2020,242970
12/18/2020,241786
12/19/2020,204873
12/20/2020,197494
12/21/2020,179406
12/22/2020,193008
12/23/2020,224526
12/24/2020,206684
12/25/2020,126796
12/26/2020,190594
12/27/2020,153540
12/28/2020,164127
12/29/2020,199679
12/30/2020,229496
12/31/2020,226246
01/01/2021,182906
01/02/2021,280318
01/03/2021,208457
01/04/2021,179571
01/05/2021,219075
01/06/2021,250184
01/07/2021,272043
01/08/2021,295121
01/09/2021,269368
01/10/2021,228732
01/11/2021,195255
01/12/2021,218020
01/13/2021,224491
01/14/2021,225616
01/15/2021,246454
01/16/2021,218085
01/17/2021,187218
01/18/2021,150792
01/19/2021,146626
01/20/2021,189203
01/21/2021,186275
01/22/2021,190915
01/23/2021,177118
01/24/2021,144234
01/25/2021,133454
01/26/2021,146448
01/27/2021,153985
01/28/2021,157306
01/29/2021,167111
01/30/2021,148824
01/31/2021,119367
02/01/2021,120200
02/02/2021,117616
02/03/2021,116960
02/04/2021,123907
02/05/2021,131146
02/06/2021,114557
02/07/2021,95994
02/08/2021,77737
02/09/2021,92986
02/10/2021,95194
02/11/2021,102417
02/12/2021,101030
02/13/2021,90642
02/14/2021,72164
02/15/2021,55077
02/16/2021,56312
02/17/2021,66839
02/18/2021,66824
02/19/2021,74676
02/20/2021,72354
02/21/2021,58702
02/22/2021,52530
02/23/2021,69105
02/24/2021,73258
02/25/2021,75565
02/26/2021,74857
02/27/2021,71245
02/28/2021,54349
03/01/2021,48092
03/02/2021,54248
03/03/2021,66836
03/04/2021,65487
03/05/2021,68787
03/06/2021,60015
03/07/2021,41835
